0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/resources/layui/lay/modules/laytpl.js HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/resources/layui/css/modules/layer/default/loading-1.gif HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/resources/layui/lay/modules/laypage.js HTTP/1.1" 200 4472
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "POST /bjsxt/menu/loadMenuManagerLeftTreeJson.action?spread=1 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/resources/layui/lay/modules/util.js HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/resources/layui_ext/dtree/font/dtreefont.ttf?x3m8fp HTTP/1.1" 200 19344
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "GET /bjsxt/menu/loadAllMenu.action?page=1&limit=10 HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:27 +0800] "POST /bjsxt/menu/loadMenuManagerLeftTreeJson.action?spread=1 HTTP/1.1" 200 3177
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:30 +0800] "GET /bjsxt/user/toUserManager.action HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [05/Dec/2019:12:57:35 +0800] "GET /bjsxt/menu/loadAllMenu.action?id=12&page=1&limit=10 HTTP/1.1" 200 183
